"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000971",487.112673602306,1.09213382703905,0.381251813855333,2.86459968805149,0.00417536707952985,0.042669873621795
"ENSG00000001167",242.677314658759,-0.304280158166704,0.103357601494142,-2.94395529470515,0.00324046803560087,0.0361716052245618
"ENSG00000002726",21.4978323506032,1.24744671440407,0.430242127760158,2.89940625037879,0.00373870131722845,0.0398259142072944
"ENSG00000002746",3.17007428115986,2.9829860207166,0.747017074643145,3.99319657069632,6.51884828058502e-05,0.00333022967577179
"ENSG00000002919",443.147394478061,-0.365319125396034,0.112168892699874,-3.2568666463839,0.00112649342072603,0.0189398776301037
"ENSG00000002933",1150.13650157512,0.731038417914785,0.179143976399659,4.08073122304645,4.48942444464984e-05,0.00256580595192587
"ENSG00000003096",57.9702468418258,0.95950848434009,0.304229861766812,3.15389317395653,0.00161108047713331,0.0233675934530331
"ENSG00000003402",781.118121603142,0.265508090243418,0.0839400145442067,3.1630693857408,0.00156115118335855,0.0230201410747324
"ENSG00000004059",661.192629069058,-0.526436182806645,0.160749371029292,-3.27488797894404,0.00105703879943424,0.0183994114560579
"ENSG00000004399",181.018151025817,0.693573603783666,0.156159785427519,4.44143543028615,8.93607624096382e-06,0.000942777255627328
"ENSG00000004848",710.935561589781,0.715088517777334,0.247741815332889,2.88642640652517,0.00389643860193163,0.0408807771459757
"ENSG00000004961",244.563910918594,-0.420242326337297,0.102590717398415,-4.09629971399137,4.19806360018668e-05,0.0024470414547001
"ENSG00000005007",205.076006966409,0.376165750042143,0.114737807227953,3.27848125330479,0.00104367296218234,0.0182448388030786
"ENSG00000005175",493.497723607771,-0.239107099944697,0.085876736559186,-2.78430584958133,0.00536424249664589,0.0495304479334643
"ENSG00000005194",845.681595899197,-0.285704284974255,0.0826543397780882,-3.45661565673768,0.000547004417035189,0.0125400490888872
"ENSG00000005700",1772.83591181804,-0.246740371523352,0.0870458326707131,-2.83460292070213,0.00458826759202982,0.045029706652088
"ENSG00000005801",690.010405873556,-0.220854189594173,0.06956729952549,-3.17468395497011,0.00149999779022728,0.022471421775756
"ENSG00000005810",2105.44223641776,-0.216507179820267,0.0639817379955599,-3.38389025686191,0.000714665623636942,0.0146207106064146
"ENSG00000006282",315.567947844394,0.407602642199334,0.136485367339988,2.98642008402254,0.00282264603153964,0.0335395499751491
"ENSG00000007376",38.0509073108047,0.535104285004397,0.174285055330086,3.07028209613808,0.00213856674747889,0.0280570224137842
"ENSG00000008256",43.9933187603108,0.726406734082905,0.252182400892665,2.88048147496257,0.00397068285696552,0.0412693971215445
"ENSG00000008382",32.08173977704,0.512430425435467,0.16769534881386,3.05572235044074,0.00224519059822311,0.0290209911859305
"ENSG00000008735",252.689664736943,0.369400947075286,0.130270665010458,2.83564183114925,0.00457337033183349,0.0449932374858744
"ENSG00000009307",8170.45157666795,-0.33674974270656,0.0880651053293097,-3.82387259343325,0.00013137181876472,0.00518953366945463
"ENSG00000009335",976.338524624873,-0.261038540589327,0.0840438718868257,-3.10597946916158,0.00189649882774934,0.0258559538504999
"ENSG00000009780",1819.65805053638,-0.474130377663688,0.109428767903481,-4.33277635074795,1.47240665477988e-05,0.00129100641654075
"ENSG00000009790",22.4875711750238,1.15976735378879,0.372844554410838,3.11059217593089,0.00186712611621714,0.0256118677154588
"ENSG00000009830",288.688260245425,0.385241451631362,0.130786776256015,2.9455688308828,0.00322361415202667,0.0360867338376417
